fish_id,group_size,group_id,track,total_distance,estimated_size
t1_1s_track_0,1,t1_1s,track_0,19357.097905119474,231.8321643251626
t2_1s_track_0,1,t2_1s,track_0,4335.536650020494,170.1347291846467
t3_1s_track_0,1,t3_1s,track_0,3150.8260056951453,172.69967658436383
t4_1s_track_0,1,t4_1s,track_0,65748.08901766995,296.2675206604873
t5_1s_track_0,1,t5_1s,track_0,4759.02126737105,199.39376133243954
t6_1s_track_0,1,t6_1s,track_0,36510.53794462739,208.33031575360295
t7_1s_track_0,1,t7_1s,track_0,46857.198337013724,201.7647153539234
t8_1s_track_0,1,t8_1s,track_0,63426.425163723885,308.7815693840473
t1_2s_track_0,2,t1_2s,track_0,75169.26156789776,230.48559529839574
t1_2s_track_1,2,t1_2s,track_1,81029.30829754732,183.24116558088065
t2_2s_track_0,2,t2_2s,track_0,10594.12859617182,283.81293727698187
t2_2s_track_1,2,t2_2s,track_1,3755.32194661472,185.5019535579395
t3_2s_track_0,2,t3_2s,track_0,15946.618907281318,239.3266226117666
t3_2s_track_1,2,t3_2s,track_1,11249.421276299947,198.32161026833464
t4_2s_track_0,2,t4_2s,track_0,24941.40009885515,211.72270971446025
t4_2s_track_1,2,t4_2s,track_1,24135.316175966826,184.8662687579152
t5_2s_track_0,2,t5_2s,track_0,9985.33033663504,236.42513203341338
t5_2s_track_1,2,t5_2s,track_1,4804.975556677704,186.5060713578603
t6_2s_track_0,2,t6_2s,track_0,22848.200945959452,227.14080643831204
t6_2s_track_1,2,t6_2s,track_1,21987.50092743652,196.03757491395598
t7_2s_track_0,2,t7_2s,track_0,80894.1468731962,294.6020752123296
t7_2s_track_1,2,t7_2s,track_1,53517.546707157264,187.57096558794768
t8_2s_track_0,2,t8_2s,track_0,29801.964106241277,230.06611688383788
t8_2s_track_1,2,t8_2s,track_1,28683.44543142454,192.28572521769564
t1_3s_track_0,3,t1_3s,track_0,86086.96569083368,278.0212039737142
t1_3s_track_1,3,t1_3s,track_1,109941.88032168048,182.3191421554961
t1_3s_track_2,3,t1_3s,track_2,80375.90822170897,221.2451031487238
t2_3s_track_0,3,t2_3s,track_0,83960.67420635906,226.45173958314803
t2_3s_track_1,3,t2_3s,track_1,107127.38955090042,169.2027910215772
